prodName,category,description
베스트 오브 코니 윌리스,과학소설(SF),"영미권 독자들이 가장 사랑하는 SF 작가, 살아 있는 전설 코니 윌리스의 수상 작품집 완역본이다. 2015년 《화재감시원》과 《여왕마저도》로 나누어 냈던 것을 다듬어 합쳤고, 월드콘 주빈 연설문 및 그랜드 마스터 수상 연설문까지 모두 옮겼다.
"
부의 빅 히스토리 - 세상은 어떻게 부유해지는가,경제학/경제일반,"촉망받는 미국의 경제학 교수이자 저명한 경제사학자 마크 코야마와 재러드 루빈이 애덤 스미스, 재러드 다이아몬드, 장하준 등 사회과학의 고전부터 최신 연구를 집대성하여 이러한 경제학의 궁극적인 물음에 답을 제시하는 책이다."
살인자와 프로파일러 - FBI 프로파일링 기법의 설계자 앤 버지스의 인간 심연에 대한 보고서,심리학/정신분석학,범죄심리학과 프로파일링 분야의 새로운 바이블. 인간 심연에 대한 연구를 범죄 수사에 최초로 접목한 FBI 행동과학부의 숨겨진 역사를 드러낸다.
내추럴 와인메이커스 두 번째 이야기 - 내추럴 와인의 현재와 미래를 만드는 43인,술/음료/차,"우리가 한국의 내추럴 와인 바나 레스토랑에서도 만나볼 수 있는, 바로 그 와인들을 만든 장본인이자 현재 세계적으로 활발하게 활동 중인 젊은 와인메이커들을 직접 만나보고 취재하였다. 이번 책은 프랑스의 주요 와인 생산지를 따라 여행하듯 챕터를 구성하였다."
슬기로운 공부 사전,초등5~6학년,"『예의 없는 친구들을 대하는 슬기로운 말하기 사전』의 김원아 작가가 1년 만에 내놓은 두 번째 어린이 실용서이다. 전편에서는 ‘관계’를 다루었다면 이번에는 ‘공부’를 다루었다. 『슬기로운 공부 사전』은 한마디로 공부를 ‘꼭 하라고, 꼭 필요하다’고 깔끔하게 권장하는 책이다."
정의감 중독 사회 - 분노는 어떻게 정의감을 내세운 마녀사냥이 되었나?,사회학,"정의감이 서로를 공격하는 무기가 되어 버린 현대사회의 문제를 분노 조절 전문가의 시각에서 분석했다. 해결되지 않은 심리적 문제가 정의감 중독으로 비화하는 메커니즘, 정의감 중독의 다섯 가지 유형과 현명한 대응법까지, 서로 생각이 다른 사람들이 평화롭게 공존할 수 있는 해법을 담았다."
"이서윤의 초등생활 처방전 365 - 초등 자녀 6년을 책임질 부모들의 백과사전, 개정판",초등 자녀,"믿고 보는 초등 교육 멘토 이서윤 선생님이 10년 동안 직접 들은 초등 부모의 고민을 총망라하여 303개의 질문에 대한 전문적이고, 현실적이고, 사려 깊은 고민 해결책을 내놓았다. 친구 관계, 교과별 학습법, 학교생활, 진로 교육과 심리 고민 등 초등생활의 모든 것을 한 권에 담았다."
해커와 국가 - 사이버 공격과 지정학의 뉴노멀,국방/군사학,"사이버 해킹, 사이버 감시, 사이버 공격, 사이버 전쟁에 대한 지금까지의 사례와 왜 이러한 행위들이 끊임없이 일어나고 있는지 그 의미를 밝힌다."
"당신은 전쟁을 몰라요 - 우크라이나에서 온 열두 살 소녀, 예바의 일기",청소년 문학,"여기, 아주 오랫동안 독자를 괴롭힐 열두 살 소녀의 이야기가 출간되었다. 우크라이나에서 헝가리를 거쳐 아일랜드에 이르기까지, 러시아 침공 이후의 긴박하고 가슴 뛰는 기록을 담은 《당신은 전쟁을 몰라요》이다."
나는 당신이 미국 부동산으로 부자가 되면 좋겠습니다 - 적은 투자금으로 미국 부동산을 살 수 있는 방법,재테크/투자,"미국 부동산을 독학으로 공부하고, 미국 전역을 누비며 손품과 발품을 팔아 정리한 저자의 노하우가 모두 담겨 있다. 외국인이 미국에서 세금을 줄이는 방법, 미국 은행에서 대출을 잘 받는 방법, 현지 공인중개사를 잘 고르는 방법 등 저자가 알려주는 실전 투자 노하우는 미국 부동산에 처음 투자하는 투자자들에게 좋은 자료가 될 것이다."
