prodName,category,description
2022년 종합청렴도 평가결과 공개,충청남도감사위원회,null
2022년 민원서비스 종합평가 결과,자치행정과,null
충남 사회적경제 혁신타운 조성공사 감독 권한대행 등 건설사업관리용역 사업수행능력평가 질의답변서,공공건축과,null
내포신도시 순환버스 운행 개시,교통정책과,null
고농도 미세먼지 비상저감조치 관심단계 발령(시행 '23.2.7.),대기환경과,null
2023년 충청남도(공공부문) 발주계획(예정) 공사·용역,건설정책과,null
충청남도 누리집(홈페이지) 일시 중단 안내,대변인,null
공주소방서 동학사119안전센터 이전 신축사업 설계공모 심사결과 공개,공공건축과,null
충남 둘레길 활성화를 위한 기본계획 수립 연구 결과보고서 및 최종보고 요약서,새마을공동체과,None
2023년도 상반기 공무원 정기인사 인사발령 안내,인사담당관,null
2023년 국가재난관리 유공 정부포상 후보자 공개검증,자연재난과,null
수소산업 육성 기본계획 수립 연구 용역,탄소중립경제과,null
충청남도 건설기술심위원회 설계심의분과 소위원회 명단 공개,건설정책과,null
고농도 미세먼지 비상저감조치 관심단계 발령(시행 '23.1.8.),대기환경과,null
고농도 미세먼지 비상저감조치 관심단계 발령(시행 '23.1.7.),대기환경과,null
2023년 달라지는 제도와 시책,대변인,null
2023년 청년마을 만들기 지원 사업 공모계획 알림,청년정책관,null
2023년도 상반기 4급이상 공무원 정기인사 인사발령 안내,인사과,null
충청남도 누리집(홈페이지) 서비스 일시 중단 안내,공보관,null
황사 위기경보 '관심' 단계 발령 알림(12.13.),푸른하늘기획과,null
설계공모 질의답변 알림 [공주소방서 동학사119안전센터 이전신축사업],공공건축과,null
감염취약시설 안심기관 인증사업 안내,감염병관리과,null
2022년도 제33회 공인중개사시험 합격자 자격증 교부방법 안내,토지관리과,null
2022년도 초미세먼지 재난 대응훈련 실시,푸른하늘기획과,null
충남형 사회성과보상사업 대화마당 개최 안내(11.3),정책기획관,null
2022년 충청남도 양극화 해소포럼,양극화대책담당관,null
"내포 온도락 힐링 아카데미 안내(9. 23.)(이우영, 흑백기억에 색을 칠한 만화)",정보서비스과,null
금산소방서 증축공사 건축설계 설계공모 심사결과 공개,공공건축과,null
제3회「충남 청년의 날 기념행사」개최 안내,청년정책과,null
"내포 온도락 힐링 아카데미 안내(9. 16.)(노성호, 역사의 현장에서 만나는 소중한 가치들)",정보서비스과,null
2022년 자랑스러운 충남인상 후보자 공적 공개,자치행정과,null
2022년 충청남도 주민자치 사진 공모전 공고,공동체정책과,null
"내포 온도락 힐링 아카데미 안내(8. 26.)(임진모, 디지털 대전환 시대의 K팝)",정보서비스과,null
금산소방서 증축공사 건축설계 설계공모 질의답변 알림,공공건축과,null
2022년도 하반기 5급이하 공무원 정기인사 인사발령 안내,인사과,null
"내포 온도락 힐링 아카데미 안내(7. 22.)(박성혜, 현대인의 밥상, 전통과 자연에서 길을 묻다)",정보서비스과,null
2022년 정보통신보조기기 보급대상자 선정 안내,정보화담당관,null
2022년도 하반기 4급이상 공무원 정기인사 인사발령 안내,인사과,null
"내포 온도락 힐링 아카데미 안내(7. 8.)(은유, 자기언어를 만드는 글쓰기)",정보서비스과,null
2022년 민원봉사대상 추천후보자 공적요약서 등록,자치행정과,null
"내포 온도락 힐링 아카데미 안내(6. 24.)(최종엽, 논어에게 길을 묻다)",정보서비스과,null
"내포 온도락 힐링 아카데미 안내(6. 10.)(황민구, 법영상분석의 이해 및 활용)",정보서비스과,null
제67회 현충일(6월 6일) 오전 10시 1분간 묵념 사이렌 울림 안내,안전정책과,null
충남 광역형 탄소중립연수원 조성사업 설계용역 설계공모 심사결과 공개,공공건축과,null
「2022 충남 금빛 취업박람회」 개최 안내,일자리노동정책과,null
ISO 인증 취득 지원 프로그램 참여기업 모집,일자리노동정책과,null
제4회 충청남도 공공디자인진흥위원회 개최 결과 알림,건축도시과,null
제3회 충청남도 공공디자인진흥위원회 개최 결과 알림,건축도시과,null
제2회 충청남도 공공디자인진흥위원회 개최 결과 알림,건축도시과,null
제1회 충청남도 공공디자인진흥위원회 개최 결과 알림,건축도시과,null
건설사업관리용역 PQ 관련 질의답변서 [수산종자연구센터 및 대천항 관공선 통합사무실 건립공사],공공건축과,null
2027 하계세계대학경기대회 온라인 서명운동 '매주드림' 이벤트 안내(5월~7월),체육진흥과,null
「2022년 공공기관 지역인재 채용설명회」 개최 안내,균형발전과,null
2022 계룡세계군문화엑스포 유치보상금 지급계획 알림,관광진흥과,null
충청남도 민주화운동 관련자 명예수당 지원 안내,자치행정과,null
'충청남도 안심귀가 서비스' 안내,건설정책과,null
2027 하계세계대학경기대회 서명운동 참여 4월 이벤트 안내,체육진흥과,null
"제52회 지구의 날 기념, 소등행사(4.22. 금요일, 20:00~20:10 /10분간)",기후환경정책과,null
소아(만5~11세) 코로나19 예방접종 시행 안내,감염병관리과,null
2022년 봄철(3~6월) 농촌일손돕기 수요 조사,식량원예과,null
당진소방서 증축공사 설계용역 설계공모 심사결과 공개,공공건축과,null
도시가스요금 8차 납부유예 안내,에너지과,null
2022년 사회적경제 정책자료집,사회적경제과,null
농업인안전재해보험 상세안내,식량원예과,null
농작물재해보험 상세안내,식량원예과,null
청년희망적금 출시 안내,청년정책과,null
노바백스 백신 접종 개시(2월14일부터),감염병관리과,null
충남 장애인가족 힐링센터 신축사업 설계공모 심사결과 공개,공공건축과,null
'걷쥬' 생생한 체험수기 공개,체육진흥과,null
당진소방서 증축공사 설계용역 설계공모 질의답변(보완) 알림,공공건축과,null
2022년 국가 재난관리 유공 장관표창 후보자 공적 공개 검증,자연재난과,null
당진소방서 증축공사 설계용역 설계공모 질의답변 알림,공공건축과,null
코로나19 예방접종 위탁의료기관 설연휴 운영 현황,감염병관리과,null
2022년 국가재난관리 유공 정부포상 후보자 공개검증,자연재난과,null
2022년 설 연휴 문 여는 의료기관 현황,보건정책과,null
'22년 제1회 재난안전제품 인증 신규 및 유효기간 연장 신청서 접수 공고,안전정책과,null
2022년 달라지는 제도와 시책,공보관,null
2022년도 상반기 5급이하 공무원 정기인사 인사발령 안내,인사과,null
2022년 글로벌 IP스타기업 육성 지원사업 공고문(충남지식재산센터),미래성장과,null
(청양군) 2022년 상반기 농업분야 계절근로자(내국인) 구인 공고,식량원예과,null
충남 장애인가족 힐링센터 신축사업 설계공모 질의답변 알림,공공건축과,null
도시가스요금 7차 납부유예 안내,에너지과,null
[채용공고] (사)충청남도자원봉사센터 재난코디네이터 채용공고,공동체정책과,null
2022년도 상반기 4급이상 공무원 정기인사 인사발령 안내,인사과,null
2021년 해양수산 분야 국가안전대진단 점검 결과,어촌산업과,null
(공주시) 2022년 상반기 외국인 계절근로자 내국인 구인 공고,식량원예과,null
제32회 공인중개사 자격시험 합격 발표에 따른 자격증 교부 안내,토지관리과,null
'충청남도 안심귀가 서비스' 안내,건설정책과,null
2021년 4분기 「찾아가는 운전면허시험장」 운영 안내,자치행정과,null
2021년도 충청남도 지식재산 네트워크 개최 안내,미래성장과,null
미래 자동차 부품산업 전문가 양성과정(3D부품설계 및 해석) 교육프로그램 안내,일자리노동정책과,null
안면도 지방정원조성 및 가든센터 신축공사 설계공모 질의답변 알림,공공건축과,null
2021년 충청남도 국가안전대진단 추진,사회재난과,null
디지털 성범죄 피해자 지원센터 안내,여성가족정책관,null
2021년 추석 연휴 문여는 의료기관 현황,보건정책과,null
추석 연휴기간 수소충전소 운영 안내,에너지과,null
도시가스요금 6차 납부유예,에너지과,null
2021년 추석 연휴기간 전통시장 주변도록 주차 허용구역 안내,소상공기업과,null
2021 자랑스러운 충남인상 후보자 공적 공개,자치행정과,null
충남 사회적경제 혁신타운 조성사업 설계공모 심사결과 공개,공공건축과,null
우리 동네 백제문화유적 UCC 공모전 선정작 명단 발표,국제통상과,null
2021년 상반기 업무추진비 공개(119특수구조단),119특수구조단,None
"2021년 1,2분기 업무추진비 공개(서천소방서)",소방행정과,None
KBS 8.15 특별기획콘서트 격렬비열도 방영 알림,해운항만과,null
2021년 2분기 업무추진비 집행내역 공개(논산소방서),소방행정과,null
제9회 충청남도 공공데이터 활용 창업경진대회 2차 결선 평가 결과 안내,데이터정책관,null
2021년도 충남인력개발원 교육생 모집,일자리노동정책과,null
2021년 2분기 업무추진비 집행내역(계룡소방서),소방행정과,None
충남 사회적경제 혁신타운 조성사업 설계공모 질의답변 알림,공공건축과,null
제9회 충청남도 공공데이터 활용 창업경진대회 1차 예선 평가 결과 안내,데이터정책관,null
2021년 당진 창업창직 활성화사업 모집공고 안내,소상공기업과,null
2021년 충청남도 고용안정 선제대응 패키지 지원사업 안내,일자리노동정책과,null
"2021년 '100번가의 톡' 참가자(예비창업자, 투자자 등) 모집",소상공기업과,null
리콜 김치냉장고 찾기 운동,에너지과,null
도시가스요금 5차 납부유예 실시,에너지과,null
제51회 충청남도 공예품대전 및 제23회 충청남도 관광기념품 공모전 심사 결과,문화정책과,null
2021년 지역산업진흥유공 포상계획 연장 공고 안내,균형발전과,null
2021년 충청남도 자동차 부품산업 포럼 안내,일자리노동정책과,null
2021년도 하반기 정기인사 인사발령 안내,인사과,null
2021년 '대한민국 동행세일' 기간 전통시장 주변도로 주차허용구간 알림,소상공기업과,null
2021년도 과학기술진흥 유공(지식재산의 날 기념)정부포상 공고,미래성장과,null
2021년 하반기 외국인계절근로자 도입 사전 구인 공고,식량원예과,null
2021년 IP(지식재산) 나래 지원사업 공고(2차),미래성장과,null
농아인의 날 기념 장애인식개선 영상,장애인복지과,null
2021년도 공정선거지원단 모집 안내,자치행정과,null
2050 탄소중립 동참 시민 실천 협약 이벤트,기후환경정책과,null
2021년 하반기 외국인 계절근로자 도입 내국인 구인 공고,식량원예과,null
2021년 하반기 외국인 계절근로 도입 구인공고,식량원예과,null
2021년 내포 온도락 힐링 아카데미 운영 알림,정보서비스과,null
2021년도 충남 우수 지식재산 경영인상 공모 공고,미래성장과,null
2021년 하반기 외국인 계절근로자 도입 내국인 구인 공고,식량원예과,null
2021년 하반기 외국인 계절근로 내국인 구인 공고,식량원예과,null
보령해양머드박람회 제1기 도민홍보단 모집 공고,보령해양머드박람회조직위원회,null
2021년('20년 실적) 위임사무 등에 대한 시군평가 결과 안내,정책기획관,null
2021년 1분기 업무추진비 집행내역(천안동남소방서),소방행정과,null
"제51회 지구의 날 기념, 소등행사(4.22. 목요일, 20:00~20:10 /10분간)",기후환경정책과,null
도 내 외국인 유치 의료기관 및 유치업자 현황(2021. 4. 기준),보건정책과,null
도시가스요금 납부유예(4차) 신청 안내,에너지과,null
「2021년 온라인 지역인재 합동채용설명회」개최,균형발전과,null
2021년도 방과후 생태지도자 양성과정(입문) 교육참가자 모집,환경안전관리과,null
제1회 충남도서관 어린이 비대면(동영상) 시낭송 대회 안내,정보서비스과,null
2021년 1분기 업무추진비 집행내역,소방행정과,null
「충남국제전시컨벤션센터 건립공사 감독 권한대행 등 건설사업관리용역 사업수행능력평가」질의답변,공공건축과,null
