title,link,image,subtitle,pubDate,director,actor,userRating
더 케이지 이즈 룩킹 포 어 버드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=226570,https://ssl.pstatic.net/imgmovie/mdi/mit110/2265/226570_P01_173250.jpg,The Cage Is Looking for <b>a</b> Bird,2023,말리카 무사에바|,,0
조안 바에즈 아이 엠 어 노이즈,https://movie.naver.com/movie/bi/mi/basic.nhn?code=227603,https://ssl.pstatic.net/imgmovie/mdi/mit110/2276/227603_P01_150412.jpg,Joan Baez I Am <b>A</b> Noise,2023,카렌 오코너|미리 나바스키|매브 오보일|,,0
바로잉 어 패밀리 앨범,https://movie.naver.com/movie/bi/mi/basic.nhn?code=227619,https://ssl.pstatic.net/imgmovie/mdi/mit110/2276/227619_P01_141238.jpg,Borrowing <b>a</b> Family Album,2023,타머 엘 사이드|,,0
어 노크 온 더 도어,https://movie.naver.com/movie/bi/mi/basic.nhn?code=226092,https://ssl.pstatic.net/imgmovie/mdi/mit110/2260/226092_P01_152821.PNG,<b>A</b> Knock on the Door,2023,란잔 팔리트|,,0
아이 시크 유어 헬프 투 버리 어 맨,https://movie.naver.com/movie/bi/mi/basic.nhn?code=225841,https://ssl.pstatic.net/imgmovie/mdi/mit110/2258/225841_P01_181050.PNG,I Seek Your Help to Bury <b>a</b> Man,2023,앤더슨 바르도|,,0
원스 어폰 어 타임 데어 워즈 어 맘,https://movie.naver.com/movie/bi/mi/basic.nhn?code=225848,https://ssl.pstatic.net/imgmovie/mdi/mit110/2258/225848_P01_180238.PNG,Once Upon <b>a</b> Time There Was <b>a</b> Mom,2023,린 헷 앙|,,0
마더 저스트 어 스마일,https://movie.naver.com/movie/bi/mi/basic.nhn?code=225858,https://ssl.pstatic.net/imgmovie/mdi/mit110/2258/225858_P01_174526.PNG,Mother Just <b>a</b> Smile,2023,시리엘레 레인구|,,0
퍼스트 에이지,https://movie.naver.com/movie/bi/mi/basic.nhn?code=226130,https://ssl.pstatic.net/imgmovie/mdi/mit110/2261/226130_P01_173425.JPG,First Age,2023,알렉산더 데이비드|,,0
어 플라워 인 어 포그라이트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=225881,https://ssl.pstatic.net/imgmovie/mdi/mit110/2258/225881_P01_165019.PNG,<b>A</b> Flower in <b>a</b> Foglight,2023,가우라브 푸리|,,0
어 필드 가이드 투 코스탈 폴티피케이션스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=225882,https://ssl.pstatic.net/imgmovie/mdi/mit110/2258/225882_P01_164856.PNG,<b>A</b> Field Guide to Coastal Fortifications,2023,티자나 페트로비치|,,0
올모스트 엔타이얼리 어 슬라이트 디제스터,https://movie.naver.com/movie/bi/mi/basic.nhn?code=226146,https://ssl.pstatic.net/imgmovie/mdi/mit110/2261/226146_P01_165900.JPG,Almost Entirely <b>a</b> Slight Disaster,2023,우뭇 수바시|,,0
"올 트레이스 이즈 곤, 노 클라무어 포 어 키스",https://movie.naver.com/movie/bi/mi/basic.nhn?code=225901,https://ssl.pstatic.net/imgmovie/mdi/mit110/2259/225901_P01_155956.PNG,"All Trace Is Gone, No Clamour for <b>a</b> Kiss",2023,크리스 중톈 위안|,,0
스프라웃 오브 어 드래곤스 티스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=225914,https://ssl.pstatic.net/imgmovie/mdi/mit110/2259/225914_P01_151222.PNG,Sprouts of <b>a</b> dragon&apos;s teeth,2023,다나에 이오|,,0
온 어 베어 락 바이 디 오션 유 윌 네버 히어 애니띵 벗 벌드 후즈 크라이즈 블렌드 위드 더 사운드 오브 윈즈,https://movie.naver.com/movie/bi/mi/basic.nhn?code=225919,https://ssl.pstatic.net/imgmovie/mdi/mit110/2259/225919_P01_150507.PNG,On <b>a</b> bare rock by the ocean you will never hear anything but birds whose cries blend with the sound of winds,2023,솔 아처|,,0
노츠 온 어 썸머,https://movie.naver.com/movie/bi/mi/basic.nhn?code=226179,https://ssl.pstatic.net/imgmovie/mdi/mit110/2261/226179_P01_153402.JPG,Notes on <b>a</b> Summer,2023,디에고 요렌테|,,0
스위밍 인 어 씨 오브 트라우마,https://movie.naver.com/movie/bi/mi/basic.nhn?code=226988,https://ssl.pstatic.net/imgmovie/mdi/mit110/2269/226988_P01_183415.PNG,Swimming in <b>a</b> Sea of Trauma,2023,우고추쿠 아즈야|,,0
스피치 포 어 멜팅 스테츄,https://movie.naver.com/movie/bi/mi/basic.nhn?code=226990,https://ssl.pstatic.net/imgmovie/mdi/mit110/2269/226990_P01_183218.PNG,Speech for <b>a</b> Melting Statue,2023,컬렉터프 페어 파아트|,,0
투모로우 이즈 어 롱 타임,https://movie.naver.com/movie/bi/mi/basic.nhn?code=227502,https://ssl.pstatic.net/imgmovie/mdi/mit110/2275/227502_P01_171703.jpg,Tomorrow Is <b>a</b> Long Time,2023,조우즈웨이|,,0
더 마운틴,https://movie.naver.com/movie/bi/mi/basic.nhn?code=225969,https://ssl.pstatic.net/imgmovie/mdi/mit110/2259/225969_P01_110304.PNG,The Mountain,2023,디에고 엔리케 오소르노|,,0
더 롱 보야지 오브 더 옐로우 버스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=225976,https://ssl.pstatic.net/imgmovie/mdi/mit110/2259/225976_P01_104411.PNG,The Long Voyage of the Yellow Bus,2023,줄리오 브레사네|로드리고 리마|,,0
어 그레이하운드 오브 어 걸,https://movie.naver.com/movie/bi/mi/basic.nhn?code=227526,https://ssl.pstatic.net/imgmovie/mdi/mit110/2275/227526_P01_152603.jpg,<b>A</b> Greyhound of <b>a</b> Girl,2023,엔조 달로|,,0
쓰라이빙: 어 디소시에이트 레버리,https://movie.naver.com/movie/bi/mi/basic.nhn?code=225231,https://ssl.pstatic.net/imgmovie/mdi/mit110/2252/225231_P01_162107.jpeg,Thriving: <b>A</b> Dissociated Reverie,2023,니콜 바즈유인|,,0
웬 어 로켓 시츠 온 더 런치 패드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=227543,https://ssl.pstatic.net/imgmovie/mdi/mit110/2275/227543_P01_115816.jpg,When <b>a</b> Rocket Sits on the Launch Pad,2023,보하오 류|,,0
어 골든 라이프,https://movie.naver.com/movie/bi/mi/basic.nhn?code=226521,https://ssl.pstatic.net/imgmovie/mdi/mit110/2265/226521_P01_165112.jpg,<b>A</b> Golden Life,2023,부바카르 상가레|,,0
어 우먼 인 마쿠에니,https://movie.naver.com/movie/bi/mi/basic.nhn?code=227554,https://ssl.pstatic.net/imgmovie/mdi/mit110/2275/227554_P01_180901.jpg,<b>A</b> Woman in Makueni,2023,다리아 비볼바|발레리 알루스키나|,,0
어 카인드 오브 테스터먼트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=227557,https://ssl.pstatic.net/imgmovie/mdi/mit110/2275/227557_P01_180255.jpg,<b>A</b> Kind of Testament,2023,스테판 뷔유민|,,0
잇츠 어 데이트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=227559,https://ssl.pstatic.net/imgmovie/mdi/mit110/2275/227559_P01_175932.jpg,It’s <b>a</b> Date,2023,나디아 파르판|,,0
어 러브 레터 투 플라스틱,https://movie.naver.com/movie/bi/mi/basic.nhn?code=227318,https://ssl.pstatic.net/imgmovie/mdi/mit110/2273/227318_P01_163930.png,<b>A</b> LOVE LETTER TO PLASTIC,2023,넬리 호카넨|,,0
투 스틱스 온 어 보드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=227321,https://ssl.pstatic.net/imgmovie/mdi/mit110/2273/227321_P01_163533.png,TWO STICKS ON <b>A</b> BOARD,2023,에리카 카르시카스|,,0
어바웃 서티,https://movie.naver.com/movie/bi/mi/basic.nhn?code=226559,https://ssl.pstatic.net/imgmovie/mdi/mit110/2265/226559_P01_181842.jpg,About Thirty,2023,마르틴 샨리|,,0
웨이드 인 더 워터: 어 저니 인투 블랙 서핑 앤 아쿠아틱 컬처,https://movie.naver.com/movie/bi/mi/basic.nhn?code=226601,,Wade in the Water: <b>A</b> Journey Into Black Surfing and Aquatic Culture,2023,데이비드 메스핀|,,0
디스 이즈 낫 어 하우스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=226645,,This is Not <b>a</b> House,2023,모건 네빌|,,0
우리 집에 유령이 산다,https://movie.naver.com/movie/bi/mi/basic.nhn?code=227748,,We Have <b>a</b> Ghost,2023,크리스토퍼 랜던|,데이빗 하버|안소니 마키|자히 디알로 윈스턴|,0
