prodName,category,description
마일드참치(3개),463,150g*3개
해표 꽃소금(1kg),484,null
도브 뷰티바(4개),466,null
JB 뉴 베드타임 로션(500ml),511,null
썬 부탄가스(4개),506,null
청정원 순창 양념듬뿍 쌈장(500g),519,null
게토레이 레몬(600ml),545,null
생야채돼지고기물만두(800g),539,400g*2봉
산들애 국내산 해물(250g),539,null
"쇠고기 등심(1등급, 100g)",530,"100g, 1등급, 등심, 국산, 냉장용 기준(냉동용 제외)"
국산아작아작콩나물(350g),470,null
참이슬 클래식(360ml),472,null
돼지고기 삼겹살(100g),448,"100g, 삼겹살, 국산, 냉장용 기준(냉동용 제외)"
"쇠고기 불고기(1+등급, 100g)",444,"100g, 1+등급, 불고기, 국산, 냉장용 기준(냉동용 제외)"
"쇠고기 등심(1+등급, 100g)",530,"100g, 1+등급, 등심, 국산, 냉장용 기준(냉동용 제외)"
마일드참치(150g),463,null
해표 맑고 신선한 식용유(900ml),484,null
백설 하얀설탕(1kg),539,null
오뚜기 참기름(320ml),463,null
오뚜기 고소한 골드 마요네즈(500g),463,null
카스 프레쉬(6캔),542,355ml캔*6개
삼양라면(5개입),450,120g*5개입
진라면 순한맛(5개입),463,120g*5개입
옛날국수 소면(900g),463,null
포스트 콘푸라이트(600g),526,null
하림 토종닭백숙(1.05kg),481,null
3분 쇠고기카레(200g),463,null
비타500(10개입),512,null
배추(1.5~2kg),469,배추 1개당 1500g~2000g
3분 쇠고기짜장(200g),463,null
"무(줄기 없는 무, 1.5kg)",469,줄기 없는 무 1개당 1500g
맥심 티오피 마스터 라떼(275ml),526,null
매일유업 뼈로가는 칼슘치즈(270g),537,null
동서현미녹차(100개입),526,null
국순당 우국생(750ml),2020,null
서울장수생막걸리(750ml),499,null
곰표 밀가루 중력다목적용(1kg),522,"중력 1등, 다목적용, 1kg"
해찬들 사계절 쌈장(500g),539,null
참이슬 후레쉬(360ml),472,null
백설 소면(900g),539,null
켈로그 콘푸로스트(600g),517,null
오뚜기 3분 백세카레 약간 매운맛(200g),463,null
오뚜기밥(210g),463,null
샘표 시골집 토장(900g),453,null
동서벌꿀(600g),526,null
동서 아카시아꿀(600g),526,null
백설 자일로스 설탕(1kg),539,null
몽쉘 카카오케이크(384g),534,null
남양 17차 티백(80개입),514,null
달콤한 삼육두유 B,452,190ml*16팩
삼다수(500ml),512,null
아이시스(500ml),545,null
